Rank, Movie Name, Link

"1", "1. Beetlejuice Beetlejuice", "https://www.imdb.com/title/tt2049403/?ref_=sr_t_1"
"2", "2. Rebel Ridge", "https://www.imdb.com/title/tt11301886/?ref_=sr_t_2"
"3", "3. Speak No Evil", "https://www.imdb.com/title/tt27534307/?ref_=sr_t_3"
"4", "4. Deadpool & Wolverine", "https://www.imdb.com/title/tt6263850/?ref_=sr_t_4"
"5", "5. Eden", "https://www.imdb.com/title/tt23149780/?ref_=sr_t_5"
"6", "6. Alien: Romulus", "https://www.imdb.com/title/tt18412256/?ref_=sr_t_6"
"7", "7. The Apprentice", "https://www.imdb.com/title/tt8368368/?ref_=sr_t_7"
"8", "8. Longlegs", "https://www.imdb.com/title/tt23468450/?ref_=sr_t_8"
"9", "9. Joker: Folie à Deux", "https://www.imdb.com/title/tt11315808/?ref_=sr_t_9"
"10", "10. Trap", "https://www.imdb.com/title/tt26753003/?ref_=sr_t_10"
"11", "11. The Deliverance", "https://www.imdb.com/title/tt4196566/?ref_=sr_t_11"
"12", "12. Uglies", "https://www.imdb.com/title/tt13186604/?ref_=sr_t_12"
"13", "13. Saturday Night", "https://www.imdb.com/title/tt27657135/?ref_=sr_t_13"
"14", "14. The Substance", "https://www.imdb.com/title/tt17526714/?ref_=sr_t_14"
"15", "15. Blink Twice", "https://www.imdb.com/title/tt14858658/?ref_=sr_t_15"
"16", "16. Venom: The Last Dance", "https://www.imdb.com/title/tt16366836/?ref_=sr_t_16"
"17", "17. The Crow", "https://www.imdb.com/title/tt1340094/?ref_=sr_t_17"
"18", "18. It Ends with Us", "https://www.imdb.com/title/tt10655524/?ref_=sr_t_18"
"19", "19. Kinds of Kindness", "https://www.imdb.com/title/tt22408160/?ref_=sr_t_19"
"20", "20. The Fall Guy", "https://www.imdb.com/title/tt1684562/?ref_=sr_t_20"
"21", "21. Twisters", "https://www.imdb.com/title/tt12584954/?ref_=sr_t_21"
"22", "22. Horizon: An American Saga - Chapter 1", "https://www.imdb.com/title/tt17505010/?ref_=sr_t_22"
"23", "23. Babygirl", "https://www.imdb.com/title/tt30057084/?ref_=sr_t_23"
"24", "24. Salem's Lot", "https://www.imdb.com/title/tt10245072/?ref_=sr_t_24"
"25", "25. Furiosa: A Mad Max Saga", "https://www.imdb.com/title/tt12037194/?ref_=sr_t_25"
