name, rating, votes, link, image, plot, genres, runtime, certificate, keywords, countriesOfOrigin, meterRanking, meterRankChange, directors, writers, stars, topCast, budget, openingWeekendGross, lifetimeGross, worldwideGross, filmingLocations, spokenLanguages, soundMix, aspectRatio, color, awardWins, awardNominations, titleType, isSeries, isEpisode, isAdult

"Spider-Noir", "8", "31042", "https://www.imdb.com/title/tt30460310/", "https://m.media-amazon.com/images/M/MV5BYjU3NjEwNTItMzc1Mi00Y2QyLTljNDItOTQ4YjU4NjZjN2EyXkEyXkFqcGc@._V1_.jpg", "Ben Reilly, a seasoned, down-on-his-luck private investigator in 1930s New York, is forced to grapple with his past life, following a deeply personal tragedy, as the city&apos;s one and only superhero.", "Action, Adventure, Crime", "0", "TV-14", "based on comic, spider man noir character, 1930s, femme fatale, supervillain", "US", "1", "UP 27", "", "", "Nicolas Cage, Lamorne Morris, Li Jun Li", "Nicolas Cage, Lamorne Morris, Li Jun Li, Karen Rodriguez", "", "", "", "", "", "English", "Dolby Atmos, Dolby Digital", "1.85 : 1", "Color, Black and White", "0", "0", "TV Series", "True", "False", "False"
"Off Campus", "8", "27708", "https://www.imdb.com/title/tt33546863/", "https://m.media-amazon.com/images/M/MV5BMDA0NzAzNDktYjBiOS00ZjFjLThhZTYtNzlkMDMzOTgxZTk5XkEyXkFqcGc@._V1_.jpg", "A college-set romantic drama chronicling the unexpected love story between a music student and the university&apos;s star hockey player, exploring themes of love and the complexities of adulthood through deep friendships and enduring b...", "Drama, Romance, Sport", "0", "TV-MA", "male nudity, male rear nudity, male frontal nudity, female topless nudity, female nudity", "US", "3", "DOWN 1", "", "", "Ella Bright, Belmont Cameli, Mika Abdalla", "Ella Bright, Belmont Cameli, Mika Abdalla, Stephen Kalyn", "", "", "", "", "Vancouver, British Columbia, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Cape Fear", "7.2", "1398", "https://www.imdb.com/title/tt34675596/", "https://m.media-amazon.com/images/M/MV5BYmZkOTkxNjAtZDY2MS00NTM3LTgwYWItMmNhMzFjMTBlOGI5XkEyXkFqcGc@._V1_.jpg", "A happily married couple faces a growing threat when a notorious killer from their past, Max Cady, is released from prison and seeks revenge.", "Crime, Drama, Thriller", "0", "TV-MA", "", "US", "64", "UP 138", "", "", "Javier Bardem, Amy Adams, Patrick Wilson", "Javier Bardem, Amy Adams, Patrick Wilson, Lily Collias", "", "", "", "", "Atlanta, Georgia, USA", "English", "Stereo", "16:9 HD", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Boroughs", "7.4", "20809", "https://www.imdb.com/title/tt27557289/", "https://m.media-amazon.com/images/M/MV5BZjc1Mjg0YjItN2M2Zi00ZDlhLWJhZDYtYjI2NmFmOGQ1ZmMxXkEyXkFqcGc@._V1_.jpg", "In a seemingly picturesque retirement community, a group of unlikely heroes must band together to stop an otherworldly threat from stealing the one thing they don&apos;t have - time.", "Adventure, Comedy, Drama", "0", "TV-MA", "desert, dune, supernatural drama, supernatural power, exploration", "US", "2", "UP 1", "", "", "Alfred Molina, Alfre Woodard, Denis O'Hare", "Alfred Molina, Alfre Woodard, Denis O'Hare, Clarke Peters", "", "", "", "", "Albuquerque, New Mexico, USA", "English", "Dolby Atmos", "2.39 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Widow&apos;s Bay", "8.3", "14450", "https://www.imdb.com/title/tt33332385/", "https://m.media-amazon.com/images/M/MV5BZDBiMWZlMDQtNzkzMi00YzQzLTkwNTUtNzYwOGY3YmUxNDJjXkEyXkFqcGc@._V1_.jpg", "A skeptical mayor leads the superstitious residents of a cursed New England island.", "Comedy, Drama, Horror", "0", "TV-MA", "new england, fog, widower, island, folk horror", "US", "6", "UP 2", "", "", "Matthew Rhys, Kingston Rumi Southwick, Kate O'Flynn", "Matthew Rhys, Kingston Rumi Southwick, Kate O'Flynn, Kevin Carroll", "", "", "", "", "Devens, Massachusetts, USA", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Euphoria", "8.1", "312195", "https://www.imdb.com/title/tt8772296/", "https://m.media-amazon.com/images/M/MV5BYzg5MTVmNjgtMGQ3Zi00YThlLWFjMzgtYzc2NGUyMzE2MWQ1XkEyXkFqcGc@._V1_.jpg", "A dark coming-of-age drama exploring love, addiction, friendship and identity in a world full of temptation and uncertainty.", "Drama", "0", "TV-MA", "drug addict, drugs, high school, sex scene, male full frontal nudity", "US", "7", "UP 2", "", "", "Zendaya, Hunter Schafer, Maude Apatow", "Zendaya, Hunter Schafer, Maude Apatow, Alexa Demie", "", "", "", "", "Pomona, California, USA", "English", "Dolby Digital", "", "Color", "42", "105", "TV Series", "True", "False", "False"
"Dutton Ranch", "8.4", "8088", "https://www.imdb.com/title/tt34991493/", "https://m.media-amazon.com/images/M/MV5BMzk0YTExY2EtYzI1NS00M2ZlLWFjOGUtMTQyMDY1MmE2ZGViXkEyXkFqcGc@._V1_.jpg", "Beth Dutton and Rip Wheeler fight to survive on their cherished 7,000-acre ranch amid tough times and stiff competition, while ensuring young Carter becomes the man he&apos;s supposed to be.", "Drama, Western", "0", "TV-MA", "yellowstone franchise, boots, knee high boots", "US", "5", "DOWN 1", "", "", "Kelly Reilly, Cole Hauser, Finn Little", "Kelly Reilly, Cole Hauser, Finn Little, Juan Pablo Raba", "", "", "", "", "Fort Worth, Texas, USA", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"The Boys", "8.5", "989490", "https://www.imdb.com/title/tt1190634/", "https://m.media-amazon.com/images/M/MV5BZjU4OWNiYzQtMzc1NS00NjZlLTgyYTctZWY4ZmEzMTkxYjA4XkEyXkFqcGc@._V1_.jpg", "A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.", "Action, Comedy, Crime", "0", "TV-MA", "violence, enhancement drug, corporate marketing, supernatural power, male full frontal nudity", "US", "4", "DOWN 3", "", "", "Karl Urban, Jack Quaid, Antony Starr", "Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty", "", "", "", "", "Hamilton, Ontario, Canada", "English", "Dolby Digital, Dolby Atmos", "2.39 : 1", "Color", "26", "97", "TV Series", "True", "False", "False"
"From", "7.8", "187395", "https://www.imdb.com/title/tt9813792/", "https://m.media-amazon.com/images/M/MV5BNDAwNDljNWEtNWE1Zi00YjFlLWEzM2UtY2E3ZTM1MTcxMTcyXkEyXkFqcGc@._V1_.jpg", "A town with a hidden secret experiences strange occurrences that intensify at night. Mysterious forces disrupt everyday routines as residents try to preserve stability and community while attempting to comprehend their surroundings.", "Drama, Horror, Mystery", "0", "TV-MA", "small town, trapped, supernatural horror, forest, creature", "US", "8", "DOWN 2", "", "", "Harold Perrineau, Catalina Sandino Moreno, David Alpay", "Harold Perrineau, Catalina Sandino Moreno, David Alpay, Elizabeth Saunders", "", "", "", "", "Colony House, 451 Fennerty Crescent, Beaver Bank, Canada", "English", "Dolby Digital", "2.00 : 1", "Color", "2", "32", "TV Series", "True", "False", "False"
"Lucky", "0", "0", "https://www.imdb.com/title/tt34866681/", "https://m.media-amazon.com/images/M/MV5BMDQ5OTgxYjMtZDcyNy00OWU0LTkxYjctMWE1ODk5OTljMjJkXkEyXkFqcGc@._V1_.jpg", "A reformed criminal is forced to confront her past and return to illicit activities for one final job, hoping to secure her freedom and leave her former life behind for good.", "Crime, Drama, Thriller", "0", "", "", "US", "10", "UP 1098", "", "", "Quinn Aune, Matthew Rauch, Aadyn Encalarde", "Quinn Aune, Matthew Rauch, Aadyn Encalarde, Ariel Flores", "", "", "", "", "Las Vegas, Nevada, USA", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Your Friends &amp; Neighbors", "7.7", "58281", "https://www.imdb.com/title/tt30459041/", "https://m.media-amazon.com/images/M/MV5BMjM0ZWFhMzEtOWVlYS00Y2VkLTk1MzEtZWQwM2E1YjFkNjlmXkEyXkFqcGc@._V1_.jpg", "A hedge fund manager resorts to burglary after losing his job, targeting wealthy neighbors to maintain his family&apos;s lifestyle.", "Crime, Drama", "0", "TV-MA", "cheating wife, sex with husband's best friend, ex husband ex wife sex, theft, cheating girlfriend", "US", "10", "UP 1", "", "", "Jon Hamm, Amanda Peet, Olivia Munn", "Jon Hamm, Amanda Peet, Olivia Munn, Hoon Lee", "", "", "", "", "Hudson Valley, New York, USA", "English", "Stereo", "2.39 : 1", "Color", "2", "9", "TV Series", "True", "False", "False"
"The Four Seasons", "7.2", "40891", "https://www.imdb.com/title/tt30826447/", "https://m.media-amazon.com/images/M/MV5BY2ZlNDBmOTctM2RhMS00NmU4LTg4NWQtZTA2ODdmMDNlZDg2XkEyXkFqcGc@._V1_.jpg", "Three suburban couples vacation together each season, but tensions arise when one couple splits up and the husband brings a much younger woman on subsequent trips.", "Comedy, Romance", "0", "TV-MA", "based on film, remake, gay, gay couple, male rear nudity", "US", "9", "UP 257", "", "", "Tina Fey, Will Forte, Kerri Kenney", "Tina Fey, Will Forte, Kerri Kenney, Marco Calvani", "", "", "", "", "Luquillo, Puerto Rico", "English", "Dolby Digital", "1.85 : 1", "Color", "2", "11", "TV Series", "True", "False", "False"
"The Witness", "6.6", "1077", "https://www.imdb.com/title/tt31631015/", "https://m.media-amazon.com/images/M/MV5BYjg4YzFlZjgtYjljZC00YjNiLWE1ZTUtNGYyODA0NzZkZDYwXkEyXkFqcGc@._V1_.jpg", "In 1992, Rachel Nickell was murdered on Wimbledon Common and her son, Alex, just three weeks from his third birthday, was the only witness. The drama is based on the memoir and experiences of Alex and his father, André Hanscombe.", "Crime, Drama", "0", "TV-MA", "criminal, murder, victim, investigation, case", "GB", "13", "UP 808", "", "", "Jordan Bolger, Neil Maskell, Max Fincham", "Jordan Bolger, Neil Maskell, Max Fincham, Steve Stamp", "", "", "", "", "", "English, Catalan", "Dolby Digital, Stereo", "", "Color", "0", "0", "TV Mini Series", "True", "False", "False"
"Not Suitable for Work", "6.6", "706", "https://www.imdb.com/title/tt35823838/", "https://m.media-amazon.com/images/M/MV5BMWFiMTA4M2EtZDkyNC00MDg4LTg5OWUtNDkxMGM2M2ZmMDQ1XkEyXkFqcGc@._V1_.jpg", "Explores the next stage in young people&apos;s lives after high school. Five work-obsessed twenty-somethings professionals living in Manhattan&apos;s Murray Hill neighborhood focused on achieving career success and find time for personal ha...", "Comedy", "0", "TV-MA", "romantic comedy", "US", "14", "UP 227", "", "", "Ella Hunt, Will Angus, Jack Martin", "Ella Hunt, Will Angus, Jack Martin, Avantika", "", "", "", "", "New York City, New York, USA", "English", "", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Game of Thrones", "9.2", "2622191", "https://www.imdb.com/title/tt0944947/", "https://m.media-amazon.com/images/M/MV5BMTNhMDJmNmYtNDQ5OS00ODdlLWE0ZDAtZTgyYTIwNDY3OTU3XkEyXkFqcGc@._V1_.jpg", "Noble families vie for control of Westeros and its Iron Throne, while an ancient threat beyond the Wall begins to stir.", "Drama, Fantasy", "0", "TV-MA", "politics, nudity, dragon, incest, kingdom", "US", "13", "DOWN 1", "", "", "Emilia Clarke, Peter Dinklage, Kit Harington", "Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey", "", "", "", "", "Split, Split-Dalmatia County, Croatia", "English", "Dolby Digital", "1.78 : 1", "Color", "396", "656", "TV Series", "True", "False", "False"
"Re:Zero kara Hajimeru Isekai Seikatsu", "8.2", "53526", "https://www.imdb.com/title/tt5607616/", "https://m.media-amazon.com/images/M/MV5BZWI4OTVkNDgtOTBmMC00M2I3LTk3NTctOWY3NmRkODIxMDViXkEyXkFqcGc@._V1_.jpg", "After being suddenly transported to another world, Subaru Natsuki and his new female partner are brutally murdered. However, Subaru awakens to a familiar scene, meeting the same girl again. The day begins to mysteriously repeat it...", "Animation, Adventure, Drama", "0", "TV-MA", "femboy, isekai, dark fantasy, anime, based on light novel", "JP", "15", "UP 91", "", "", "Yûsuke Kobayashi, Sean Chiplock, Rie Takahashi", "Yûsuke Kobayashi, Sean Chiplock, Rie Takahashi, Kayli Mills", "", "", "", "", "", "Japanese, English, Spanish, Portuguese, French, German", "Dolby Digital, Dolby Surround 7.1", "1.78 : 1, 2.35 : 1", "Color", "41", "57", "TV Series", "True", "False", "False"
"Among Us", "7.3", "627", "https://www.imdb.com/title/tt28230655/", "https://m.media-amazon.com/images/M/MV5BNTdhZjMyOGItZTVlZS00NTEzLTlkYmYtMDM2MDgwNTYwZDNiXkEyXkFqcGc@._V1_.jpg", "Eccentric, monochromatic crewmates of a ship transporting junk across the galaxy must root out an impostor in their midst before they fall victim to its villainous designs.", "Animation, Adventure, Comedy", "0", "TV-14", "based on video game, 2d animation, murder mystery, crew, impostor", "US", "17", "UP 5138", "", "", "Ashley Johnson, Randall Park, Elijah Wood", "Ashley Johnson, Randall Park, Elijah Wood, Liv Hewson", "", "", "", "", "", "English", "Dolby Digital", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Legends", "7.9", "17178", "https://www.imdb.com/title/tt33265765/", "https://m.media-amazon.com/images/M/MV5BYTI2NzI3OTgtNjJmNS00Yjk3LTliMTMtZDA1MWM4MDA0N2QzXkEyXkFqcGc@._V1_.jpg", "Customs agents go undercover to infiltrate Britain&apos;s most dangerous drug gangs, following a thrilling criminal investigation based on extensive research and interviews with those involved in the top-secret operation.", "Crime, Drama", "0", "TV-MA", "gangster, drug, gangster crime, drug crime, criminal", "GB", "11", "DOWN 4", "", "", "Tom Burke, Steve Coogan, Hayley Squires", "Tom Burke, Steve Coogan, Hayley Squires, Aml Ameen", "", "", "", "", "Morocco", "English", "Dolby Surround 7.1", "2.35 : 1", "Color", "0", "0", "TV Series", "True", "False", "False"
"Rivals", "7.9", "18611", "https://www.imdb.com/title/tt21906238/", "https://m.media-amazon.com/images/M/MV5BZTc1NTcwNWEtN2NiZC00NGM3LTliNWEtZjY2YWZiOGUzNGRhXkEyXkFqcGc@._V1_.jpg", "Follows Rupert Campbell-Black and Tony Baddingham as they have a longstanding rivalry that comes to a head.", "Drama", "0", "TV-MA", "male nudity, male rear nudity, male frontal nudity, male full frontal nudity, female nudity", "US", "21", "DOWN 8", "", "", "Brendan Patricks, Danny Dyer, Alex Hassell", "Brendan Patricks, Danny Dyer, Alex Hassell, Bella Maclean", "", "", "", "", "Tetbury, Gloucestershire, England, UK", "English", "Dolby Digital", "", "Color", "6", "13", "TV Series", "True", "False", "False"
"Chamgyoyuk", "8.6", "1141", "https://www.imdb.com/title/tt34809853/", "https://m.media-amazon.com/images/M/MV5BNzFjNmFjNzgtYmM0ZS00ODZmLWJiNTktOWNiYWZiMTE5MWRiXkEyXkFqcGc@._V1_.jpg", "The collapse of teachers&apos; Authority, the establishment of the Teachers&apos; Authority Protection Bureau under the Ministry of Education, and the dispatch of supervisors to problem schools to punish students and parents who cross the l...", "Action, Drama", "0", "", "education, law, authority, school, teacher", "KR", "20", "UP 2018", "", "", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo", "Kim Mu-yeol, Lee Sung-min, Jin Ki-joo, Pyo Ji-hoon", "", "", "", "", "", "Korean", "Dolby Digital", "", "Color", "0", "0", "TV Series", "True", "False", "False"
"Breaking Bad", "9.5", "2626610", "https://www.imdb.com/title/tt0903747/", "https://m.media-amazon.com/images/M/MV5BMzU5ZGYzNmQtMTdhYy00OGRiLTg0NmQtYjVjNzliZTg1ZGE4XkEyXkFqcGc@._V1_.jpg", "A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student to secure his family&apos;s future.", "Crime, Drama, Thriller", "0", "TV-MA", "cancer, chemistry, drug trade, methamphetamine, chemistry teacher", "US", "22", "DOWN 2", "", "", "Bryan Cranston, Aaron Paul, Anna Gunn", "Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris", "", "", "", "", "3828 Piermont Dr NE, Albuquerque, New Mexico, USA", "English, Spanish", "Dolby Digital", "", "Color", "172", "269", "TV Series", "True", "False", "False"
"House of the Dragon", "8.3", "529340", "https://www.imdb.com/title/tt11198330/", "https://m.media-amazon.com/images/M/MV5BZGM4MTczODQtNGIxOC00Y2U2LTk1YmItNzA2N2VhYmE0Y2YwXkEyXkFqcGc@._V1_.jpg", "An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.", "Action, Adventure, Drama", "0", "TV-MA", "dragon, kingdom, dysfunctional family, prequel, prince", "US", "17", "UP 42", "", "", "Matt Smith, Emma D'Arcy, Olivia Cooke", "Matt Smith, Emma D'Arcy, Olivia Cooke, Fabien Frankel", "", "", "", "", "Monsanto, Castelo Branco, Portugal", "English", "Dolby Atmos, Dolby Digital", "2.00 : 1", "Color", "23", "99", "TV Series", "True", "False", "False"
"Rick and Morty", "9", "697389", "https://www.imdb.com/title/tt2861424/", "https://m.media-amazon.com/images/M/MV5BZGQyZjk2MzMtMTcyNC00NGU3LTlmNjItNDExMWM4ZDFhYmQ2XkEyXkFqcGc@._V1_.jpg", "The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.", "Animation, Adventure, Comedy", "0", "TV-MA", "scientist, adult animation, grandfather grandson relationship, monster, multiverse", "US", "25", "UP 60", "", "", "Chris Parnell, Spencer Grammer, Sarah Chalke", "Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland", "", "", "", "", "New York City, New York, USA", "English", "Dolby Digital", "16:9 HD", "Color", "18", "41", "TV Series", "True", "False", "False"
"Ted Lasso", "8.7", "445475", "https://www.imdb.com/title/tt10986410/", "https://m.media-amazon.com/images/M/MV5BZmI3YWVhM2UtNDZjMC00YTIzLWI2NGUtZWIxODZkZjVmYTg1XkEyXkFqcGc@._V1_.jpg", "American college football coach Ted Lasso is hired to manage AFC Richmond, a struggling English soccer club, and must win over skeptical players, staff, and fans.", "Comedy, Drama, Sport", "0", "TV-MA", "soccer, strong female character, american abroad, american in england, ex husband ex wife relationship", "US", "57", "UP 15", "", "", "Hannah Waddingham, Brendan Hunt, Jason Sudeikis", "Hannah Waddingham, Brendan Hunt, Jason Sudeikis, Jeremy Swift", "", "", "", "", "Crystal Palace Football Club, Selhurst Park Stadium, Holmesdale Road, Selhurst, London, Greater London, England, UK", "English", "Stereo", "16:9 HD", "Color", "73", "213", "TV Series", "True", "False", "False"
